id_student,final_result,highest_education,studied_credits,region,num_of_prev_attempts,avg_score,gender,date_unregistration,date_registration,churn
11391,2,1,240,0,0,82.0,1,32.0,-159.0,0
28400,2,1,60,6,0,66.4,0,32.0,-53.0,0
30268,3,0,60,5,0,75.0,0,12.0,-92.0,1
31604,2,0,60,7,0,76.0,0,32.0,-52.0,0
32885,2,2,60,11,0,54.4,0,32.0,-176.0,0
38053,2,0,60,10,0,68.0,1,32.0,-110.0,0
45462,2,1,60,6,0,68.0,1,32.0,-67.0,0
45642,2,0,120,5,0,72.4,0,32.0,-29.0,0
52130,2,0,90,0,0,71.4,0,32.0,-33.0,0
53025,2,4,60,4,0,78.0,1,32.0,-179.0,0
57506,2,2,60,8,0,74.0,1,32.0,-103.0,0
58873,2,0,60,0,0,73.2,0,32.0,-47.0,0
59185,2,2,60,0,0,78.6,1,32.0,-59.0,0
62155,2,1,60,5,0,76.0,0,32.0,-68.0,0
63400,2,2,60,6,0,71.6,1,32.0,-67.0,0
65002,3,0,60,0,0,67.0,0,96.0,-180.0,1
65002,3,0,60,0,0,67.0,0,32.0,-144.0,1
70464,2,0,60,11,0,55.6,0,32.0,-95.0,0
71361,2,1,60,2,0,80.4,1,32.0,-130.0,0
74372,1,0,150,0,0,48.5,1,32.0,-50.0,1
75091,2,0,60,9,0,66.0,1,32.0,-107.0,0
77367,2,0,60,1,0,70.4,1,32.0,-27.0,0
91265,2,1,60,5,0,70.8,1,32.0,-31.0,0
94961,3,2,60,8,0,65.33333333333333,1,72.0,-170.0,1
94961,3,2,60,8,0,65.33333333333333,1,32.0,-150.0,1
98094,2,2,60,10,0,60.6,1,32.0,-107.0,0
100893,2,0,60,12,0,68.4,1,32.0,-62.0,0
101781,2,2,60,8,0,72.6,1,32.0,-103.0,0
102806,2,0,60,5,0,78.0,1,32.0,-107.0,0
102952,2,1,60,3,0,76.6,1,32.0,-100.0,0
104476,2,4,60,2,0,79.6,1,32.0,-109.0,0
106247,3,1,60,8,0,60.0,1,175.0,5.0,1
106577,2,2,60,1,0,53.4,1,32.0,-107.0,0
110175,2,1,60,0,0,63.4,1,32.0,-110.0,0
111717,2,1,60,0,0,81.0,0,32.0,-43.0,0
113295,2,2,60,12,0,77.6,1,32.0,-26.0,0
114017,2,4,60,4,0,71.8,0,32.0,-29.0,0
114999,2,1,60,12,0,72.8,1,32.0,-68.0,0
116541,2,1,60,10,0,62.4,1,32.0,-68.0,0
116692,2,0,60,0,0,74.2,1,32.0,-32.0,0
118983,2,1,120,1,0,61.8,1,32.0,-99.0,0
123044,2,0,60,8,0,71.4,1,32.0,-82.0,0
127582,2,0,180,1,0,69.6,0,32.0,-31.0,0
129955,3,0,60,11,0,81.0,1,135.0,-197.0,1
129955,3,0,60,11,0,81.0,1,143.0,-143.0,1
132976,2,2,120,0,0,67.4,0,32.0,-75.0,0
134143,0,0,60,7,0,84.4,0,32.0,-96.0,0
135335,3,2,180,0,0,75.0,0,30.0,-29.0,1
135335,3,2,180,0,0,75.0,0,24.0,-82.0,1
135400,3,2,60,7,0,53.142857142857146,0,144.0,-32.0,1
135400,3,2,60,7,0,53.142857142857146,0,32.0,-51.0,1
137873,2,0,60,9,0,80.2,1,32.0,-195.0,0
141355,2,0,240,1,0,72.6,0,32.0,-61.0,0
141377,3,0,345,9,0,48.833333333333336,1,129.0,-110.0,1
141377,3,0,345,9,0,48.833333333333336,1,32.0,-127.0,1
142326,2,0,60,4,0,73.6,0,32.0,-37.0,0
144801,2,1,60,8,0,68.8,0,32.0,-67.0,0
145130,2,1,120,9,0,54.4,1,32.0,-36.0,0
146188,1,0,60,11,0,50.0,0,32.0,-132.0,1
147756,1,2,120,4,0,68.66666666666667,1,32.0,-92.0,1
147756,1,2,120,4,0,68.66666666666667,1,32.0,-41.0,1
147793,3,2,90,4,0,52.0,0,58.0,-138.0,1
148993,3,0,60,5,0,79.5,0,158.0,-174.0,1
148993,3,0,60,5,0,79.5,0,32.0,-154.0,1
151358,2,0,150,3,0,50.0,0,32.0,-44.0,0
155550,2,0,420,3,0,67.0,1,32.0,-16.0,0
155854,2,0,60,1,0,79.8,0,32.0,-54.0,0
155984,3,2,60,0,0,78.14285714285714,0,191.0,-64.0,1
155984,3,2,60,0,0,78.14285714285714,0,32.0,-156.0,1
157568,2,0,60,9,0,70.6,0,32.0,-52.0,0
159954,3,0,60,1,0,68.2,1,123.0,-46.0,1
159954,3,0,60,1,0,68.2,1,201.0,-24.0,1
164259,2,0,60,6,0,71.8,1,32.0,-64.0,0
167906,2,0,60,12,0,69.4,0,32.0,-117.0,0
168936,2,2,60,11,0,66.4,0,32.0,-32.0,0
172112,2,1,60,2,0,69.6,1,32.0,-50.0,0
172797,2,0,60,2,0,61.4,0,32.0,-45.0,0
174782,2,1,60,0,0,80.4,1,32.0,-162.0,0
175392,2,1,60,4,0,82.4,1,32.0,-195.0,0
175932,2,1,60,5,0,78.2,1,32.0,-92.0,0
175991,1,0,180,5,0,37.6,0,32.0,-57.0,1
180753,2,0,120,9,0,53.4,1,32.0,-64.0,0
181316,3,0,120,9,0,76.0,0,60.0,-39.0,1
183096,2,0,60,9,0,54.0,0,32.0,-128.0,0
183947,2,0,180,3,0,49.0,1,32.0,-32.0,0
184271,2,1,170,9,0,59.8,1,32.0,-74.0,0
185439,1,1,120,3,0,74.0,1,32.0,-12.0,1
186149,2,1,60,6,0,76.0,1,32.0,-109.0,0
187100,0,0,60,7,0,89.2,1,32.0,-136.0,0
188278,3,0,120,12,0,71.66666666666667,1,60.0,-57.0,1
188278,3,0,120,12,0,71.66666666666667,1,32.0,-64.0,1
189879,2,0,120,6,0,79.4,1,32.0,-180.0,0
192183,2,2,60,9,0,68.4,0,32.0,-62.0,0
195262,3,0,60,3,0,50.0,1,185.0,-45.0,1
200860,2,2,60,3,0,54.4,1,32.0,-54.0,0
202635,3,0,60,10,0,66.66666666666667,0,166.0,-73.0,1
205350,2,1,60,9,0,72.2,1,32.0,-68.0,0
205719,1,0,90,0,0,56.666666666666664,1,32.0,-51.0,1
227499,0,0,60,3,0,83.6,0,32.0,-169.0,0
227517,1,1,180,2,0,62.6,1,32.0,-172.0,1
228082,2,1,60,3,0,72.4,1,32.0,-31.0,0
228222,2,2,60,1,0,61.8,1,32.0,-108.0,0
229179,2,0,60,11,0,66.0,1,32.0,-165.0,0
229361,2,0,60,1,0,78.0,1,32.0,-58.0,0
231554,2,0,240,3,0,67.75,1,32.0,-29.0,0
235507,3,0,240,12,0,57.833333333333336,1,109.0,-79.0,1
235507,3,0,240,12,0,57.833333333333336,1,32.0,-135.0,1
236284,2,4,60,6,0,78.0,1,32.0,2.0,0
238007,2,1,60,8,0,79.2,1,32.0,-151.0,0
240712,2,1,80,3,0,75.8,1,32.0,-45.0,0
240884,2,0,120,8,0,58.4,1,32.0,-47.0,0
241649,2,1,60,0,0,78.8,1,32.0,-50.0,0
241729,1,1,60,1,0,58.6,0,32.0,-31.0,1
242793,2,1,60,3,0,77.4,1,32.0,-36.0,0
246834,2,0,60,9,0,55.6,1,32.0,-16.0,0
248270,2,2,90,5,0,78.4,1,32.0,-198.0,0
255548,2,2,60,10,0,71.4,1,32.0,-103.0,0
256815,2,1,120,5,0,76.8,1,32.0,-117.0,0
258392,2,2,60,11,0,58.8,0,32.0,-68.0,0
258894,2,2,60,0,0,64.8,0,32.0,-172.0,0
260355,3,0,60,3,0,57.5,0,170.0,-186.0,1
260355,3,0,60,3,0,57.5,0,-87.0,-156.0,1
262011,2,0,60,1,0,71.0,1,32.0,-145.0,0
262934,2,0,60,5,0,76.6,0,32.0,-191.0,0
268073,1,0,90,0,0,74.6,1,32.0,-33.0,1
268733,3,0,180,0,0,43.0,1,187.0,-17.0,1
268733,3,0,180,0,0,43.0,1,32.0,-10.0,1
271251,2,0,60,6,0,76.4,1,32.0,-68.0,0
277880,3,0,60,7,0,67.66666666666667,0,177.0,-108.0,1
277880,3,0,60,7,0,67.66666666666667,0,158.0,-11.0,1
279572,0,2,60,3,0,79.2,1,32.0,-138.0,0
281022,2,0,150,6,0,73.4,0,32.0,-74.0,0
281250,1,2,60,10,0,55.4,1,32.0,-64.0,1
281589,1,1,60,5,0,75.0,1,32.0,-50.0,1
282821,2,0,60,9,0,60.6,1,32.0,-107.0,0
286488,2,0,60,7,0,71.0,1,32.0,-8.0,0
287548,2,0,120,0,0,67.8,1,32.0,-52.0,0
290201,2,0,60,10,0,70.4,1,32.0,-96.0,0
290757,2,0,60,5,0,75.0,1,32.0,-141.0,0
291334,0,0,60,7,0,83.6,1,32.0,-132.0,0
292923,3,0,180,7,0,75.0,0,-121.0,-162.0,1
293699,2,0,120,1,0,46.75,1,32.0,-27.0,0
294570,2,1,60,7,0,78.2,1,32.0,-80.0,0
294594,2,0,60,7,0,52.8,1,32.0,-145.0,0
295741,1,0,240,7,0,71.0,1,32.0,-17.0,1
295741,1,0,240,7,0,71.0,1,32.0,-22.0,1
296332,0,4,60,8,0,86.8,1,32.0,-115.0,0
298696,2,1,60,7,0,80.8,0,32.0,-32.0,0
300398,2,0,60,11,0,78.8,1,32.0,-59.0,0
302302,1,0,60,0,0,58.666666666666664,0,32.0,-83.0,1
305152,1,0,60,5,0,64.0,1,32.0,-18.0,1
305386,2,0,120,11,0,78.0,1,32.0,-66.0,0
305539,3,2,120,10,0,75.0,0,-3.0,-54.0,1
306107,2,0,120,11,0,58.2,1,32.0,-107.0,0
306466,2,0,60,0,0,82.0,1,32.0,-58.0,0
306897,2,0,60,3,0,62.6,0,32.0,-123.0,0
307061,2,1,60,1,0,81.2,0,32.0,-31.0,0
307866,2,0,60,11,0,60.0,1,32.0,-107.0,0
311917,2,0,120,9,0,59.2,1,32.0,-121.0,0
312537,0,4,60,8,0,87.8,1,32.0,-79.0,0
312782,2,0,60,8,0,61.8,1,32.0,-59.0,0
318933,2,1,120,0,0,66.6,0,32.0,-100.0,0
319047,2,0,60,1,0,78.4,0,32.0,-47.0,0
321942,2,1,60,8,0,80.4,1,32.0,-67.0,0
324002,2,1,60,0,0,80.4,1,32.0,-32.0,0
324084,2,0,60,9,0,57.6,0,32.0,-165.0,0
324282,2,0,120,7,0,61.2,1,32.0,-32.0,0
331358,3,1,60,8,0,84.66666666666667,0,53.0,-67.0,1
