id_student,highest_education,studied_credits,region,num_of_prev_attempts,avg_score,gender,churn
28400,1,60,6,0,66.4,0,0
30268,0,60,5,0,75.0,0,1
31604,0,60,7,0,76.0,0,0
32885,2,60,11,0,54.4,0,0
38053,0,60,10,0,68.0,1,0
45462,1,60,6,0,68.0,1,0
52130,0,90,0,0,71.4,0,0
53025,4,60,4,0,78.0,1,0
58873,0,60,0,0,73.2,0,0
59185,2,60,0,0,78.6,1,0
62155,1,60,5,0,76.0,0,0
63400,2,60,6,0,71.6,1,0
65002,0,60,0,0,67.0,0,1
65002,0,60,0,0,67.0,0,1
70464,0,60,11,0,55.6,0,0
71361,1,60,2,0,80.4,1,0
74372,0,150,0,0,48.5,1,1
75091,0,60,9,0,66.0,1,0
77367,0,60,1,0,70.4,1,0
91265,1,60,5,0,70.8,1,0
94961,2,60,8,0,65.33333333333333,1,1
94961,2,60,8,0,65.33333333333333,1,1
98094,2,60,10,0,60.6,1,0
100893,0,60,12,0,68.4,1,0
101781,2,60,8,0,72.6,1,0
102952,1,60,3,0,76.6,1,0
104476,4,60,2,0,79.6,1,0
106247,1,60,8,0,60.0,1,1
106577,2,60,1,0,53.4,1,0
110175,1,60,0,0,63.4,1,0
111717,1,60,0,0,81.0,0,0
113295,2,60,12,0,77.6,1,0
114017,4,60,4,0,71.8,0,0
114999,1,60,12,0,72.8,1,0
116541,1,60,10,0,62.4,1,0
116692,0,60,0,0,74.2,1,0
118983,1,120,1,0,61.8,1,0
127582,0,180,1,0,69.6,0,0
135335,2,180,0,0,75.0,0,1
135335,2,180,0,0,75.0,0,1
137873,0,60,9,0,80.2,1,0
141355,0,240,1,0,72.6,0,0
142326,0,60,4,0,73.6,0,0
144801,1,60,8,0,68.8,0,0
145130,1,120,9,0,54.4,1,0
146188,0,60,11,0,50.0,0,1
147756,2,120,4,0,68.66666666666667,1,1
147756,2,120,4,0,68.66666666666667,1,1
148993,0,60,5,0,79.5,0,1
148993,0,60,5,0,79.5,0,1
151358,0,150,3,0,50.0,0,0
155550,0,420,3,0,67.0,1,0
155854,0,60,1,0,79.8,0,0
155984,2,60,0,0,78.14285714285714,0,1
155984,2,60,0,0,78.14285714285714,0,1
157568,0,60,9,0,70.6,0,0
159954,0,60,1,0,68.2,1,1
159954,0,60,1,0,68.2,1,1
164259,0,60,6,0,71.8,1,0
168936,2,60,11,0,66.4,0,0
172112,1,60,2,0,69.6,1,0
172797,0,60,2,0,61.4,0,0
174782,1,60,0,0,80.4,1,0
175392,1,60,4,0,82.4,1,0
175932,1,60,5,0,78.2,1,0
175991,0,180,5,0,37.6,0,1
180753,0,120,9,0,53.4,1,0
181316,0,120,9,0,76.0,0,1
183096,0,60,9,0,54.0,0,0
183947,0,180,3,0,49.0,1,0
184271,1,170,9,0,59.8,1,0
185439,1,120,3,0,74.0,1,1
187100,0,60,7,0,89.2,1,0
188278,0,120,12,0,71.66666666666667,1,1
188278,0,120,12,0,71.66666666666667,1,1
189879,0,120,6,0,79.4,1,0
192183,2,60,9,0,68.4,0,0
200860,2,60,3,0,54.4,1,0
202635,0,60,10,0,66.66666666666667,0,1
205350,1,60,9,0,72.2,1,0
205719,0,90,0,0,56.666666666666664,1,1
227499,0,60,3,0,83.6,0,0
227517,1,180,2,0,62.6,1,1
228082,1,60,3,0,72.4,1,0
228222,2,60,1,0,61.8,1,0
229179,0,60,11,0,66.0,1,0
229361,0,60,1,0,78.0,1,0
231554,0,240,3,0,67.75,1,0
235507,0,240,12,0,57.833333333333336,1,1
235507,0,240,12,0,57.833333333333336,1,1
236284,4,60,6,0,78.0,1,0
238007,1,60,8,0,79.2,1,0
240712,1,80,3,0,75.8,1,0
240884,0,120,8,0,58.4,1,0
241649,1,60,0,0,78.8,1,0
241729,1,60,1,0,58.6,0,1
242793,1,60,3,0,77.4,1,0
246834,0,60,9,0,55.6,1,0
248270,2,90,5,0,78.4,1,0
255548,2,60,10,0,71.4,1,0
256815,1,120,5,0,76.8,1,0
258392,2,60,11,0,58.8,0,0
260355,0,60,3,0,57.5,0,1
260355,0,60,3,0,57.5,0,1
262934,0,60,5,0,76.6,0,0
271251,0,60,6,0,76.4,1,0
277880,0,60,7,0,67.66666666666667,0,1
277880,0,60,7,0,67.66666666666667,0,1
279572,2,60,3,0,79.2,1,0
281022,0,150,6,0,73.4,0,0
281250,2,60,10,0,55.4,1,1
281589,1,60,5,0,75.0,1,1
282821,0,60,9,0,60.6,1,0
287548,0,120,0,0,67.8,1,0
290201,0,60,10,0,70.4,1,0
290757,0,60,5,0,75.0,1,0
291334,0,60,7,0,83.6,1,0
292923,0,180,7,0,75.0,0,1
293699,0,120,1,0,46.75,1,0
294570,1,60,7,0,78.2,1,0
295741,0,240,7,0,71.0,1,1
295741,0,240,7,0,71.0,1,1
296332,4,60,8,0,86.8,1,0
298696,1,60,7,0,80.8,0,0
300398,0,60,11,0,78.8,1,0
302302,0,60,0,0,58.666666666666664,0,1
305152,0,60,5,0,64.0,1,1
305386,0,120,11,0,78.0,1,0
305539,2,120,10,0,75.0,0,1
306107,0,120,11,0,58.2,1,0
306466,0,60,0,0,82.0,1,0
306897,0,60,3,0,62.6,0,0
307866,0,60,11,0,60.0,1,0
311917,0,120,9,0,59.2,1,0
312782,0,60,8,0,61.8,1,0
318933,1,120,0,0,66.6,0,0
319047,0,60,1,0,78.4,0,0
324002,1,60,0,0,80.4,1,0
324282,0,120,7,0,61.2,1,0
331358,1,60,8,0,84.66666666666667,0,1
331358,1,60,8,0,84.66666666666667,0,1
332789,0,60,0,0,74.4,0,0
333059,0,120,6,0,65.8,1,0
333323,1,60,6,0,74.4,1,0
334259,0,150,3,0,53.0,0,1
335764,0,60,7,0,86.875,0,1
335764,0,60,7,0,86.875,0,1
339972,0,60,4,0,49.8,1,0
341872,2,180,0,0,64.2,1,1
342972,1,60,12,0,60.4,1,0
343446,1,120,2,0,78.4,1,0
344282,0,60,12,0,49.2,1,1
345068,0,180,0,0,78.0,1,0
346025,0,120,0,0,82.4,1,0
346843,1,120,6,0,75.0,0,1
350188,1,60,5,0,73.8,1,0
357668,0,60,12,0,57.0,1,1
364177,2,60,0,0,69.0,1,1
365244,0,120,3,0,56.4,0,0
365642,2,60,0,0,70.0,1,0
366483,1,60,9,0,76.8,1,0
368824,1,120,10,0,55.6,1,1
368963,2,180,12,0,66.4,1,0
376439,1,60,4,0,87.0,1,0
376581,0,60,8,0,72.8,0,0
380953,0,60,1,0,67.8,1,0
386952,0,120,12,0,68.0,1,0
388722,2,60,3,0,63.8,0,0
388885,0,60,9,0,60.6,1,0
390890,0,90,6,0,68.625,1,1
390890,0,90,6,0,68.625,1,1
392756,0,120,11,0,45.0,1,1
393207,0,60,5,0,74.2,1,0
396872,1,180,12,0,61.4,1,0
401869,2,60,7,0,65.0,0,0
402470,2,60,9,0,72.6,1,0
405088,0,120,4,0,77.2,1,0
405961,0,240,6,0,75.0,1,1
414117,0,120,12,0,76.4,1,0
415969,1,90,11,0,59.666666666666664,1,1
415969,1,90,11,0,59.666666666666664,1,1
420087,0,60,6,0,76.0,1,1
429958,0,60,5,0,58.4,0,0
442442,1,120,9,0,40.5,1,1
444677,1,60,3,0,87.6,1,0
470588,1,60,7,0,79.33333333333333,1,1
470588,1,60,7,0,79.33333333333333,1,1
489455,0,60,9,0,70.6,0,0
494424,0,60,4,0,75.0,0,1
495284,1,120,7,0,66.6,1,0
512460,1,120,7,0,72.4,1,0
544103,1,120,5,0,81.0,1,0
550383,1,60,7,0,72.0,1,0
564450,1,120,11,0,59.2,1,1
568601,1,60,6,0,81.5,0,1
572652,1,120,11,0,73.2,1,0
588775,0,120,9,0,82.8,1,0
603861,1,60,4,0,63.0,1,1
603861,1,60,4,0,63.0,1,1
606143,4,60,6,0,66.0,1,1
704156,1,120,8,0,66.0,1,0
705379,0,120,11,0,80.8,1,0
760729,0,60,11,0,81.2,1,0
905042,0,60,0,0,76.4,0,0
949618,0,60,9,0,61.8,0,0
969076,0,180,9,0,59.75,1,1
1035023,2,60,3,0,70.0,0,0
1105478,1,60,6,0,82.6,1,0
1352868,0,60,12,0,68.57142857142857,1,1
1352868,0,60,12,0,68.57142857142857,1,1
1401935,0,60,11,0,35.0,1,1
1402638,1,60,1,0,75.2,0,0
1414443,0,120,12,0,59.0,0,1
1472925,2,60,0,0,61.9,0,1
1472925,2,60,0,0,61.9,0,1
1488959,0,60,3,0,61.8,1,0
1518989,2,60,7,0,73.0,0,0
1618738,2,60,3,0,79.6,1,0
1620151,1,60,8,0,77.5,1,1
1626710,0,60,5,0,84.6,1,0
